,Model,Num_Layers,AdaEdge,RemovalRate,AdditionRate,MAD,MADGap,MADReg,Accuracy,Energy
0,GCN,2,False,0.0000 ± 0.0000,0.0000 ± 0.0000,0.4668 ± 0.1089,0.2552 ± 0.0387,0.0,0.7224 ± 0.0348,1.060033369064331
1,GCN,2,True,0.0004 ± 0.0000,0.2003 ± 0.0010,0.4936 ± 0.2036,0.2399 ± 0.0671,0.0,0.7152 ± 0.0388,1.258839750289917
2,GCN,2,False,0.0000 ± 0.0000,0.0000 ± 0.0000,0.5378 ± 0.0625,0.2686 ± 0.0314,0.01,0.7408 ± 0.0482,0.9094284892082214
3,GCN,2,True,0.0004 ± 0.0001,0.2011 ± 0.0021,0.4386 ± 0.1301,0.2196 ± 0.0460,0.01,0.7190 ± 0.0359,1.1844830632209777
4,GCN,2,False,0.0000 ± 0.0000,0.0000 ± 0.0000,0.4722 ± 0.1334,0.2577 ± 0.0365,0.1,0.7242 ± 0.0631,1.1561753392219543
5,GCN,2,True,0.0003 ± 0.0000,0.2002 ± 0.0008,0.3447 ± 0.0438,0.2035 ± 0.0226,0.1,0.7528 ± 0.0376,1.5527159452438355
6,GCN,3,False,0.0000 ± 0.0000,0.0000 ± 0.0000,0.3566 ± 0.1374,0.2295 ± 0.0537,0.0,0.6998 ± 0.0920,0.33011109828948976
7,GCN,3,True,0.0004 ± 0.0001,0.2182 ± 0.0174,0.3737 ± 0.1770,0.2586 ± 0.0994,0.0,0.6058 ± 0.1509,0.33480607271194457
8,GCN,3,False,0.0000 ± 0.0000,0.0000 ± 0.0000,0.4095 ± 0.1566,0.2434 ± 0.0514,0.01,0.6164 ± 0.1195,0.3764836251735687
9,GCN,3,True,0.0004 ± 0.0001,0.2113 ± 0.0151,0.4088 ± 0.1522,0.2500 ± 0.0980,0.01,0.6216 ± 0.1811,0.2809347152709961
10,GCN,3,False,0.0000 ± 0.0000,0.0000 ± 0.0000,0.2849 ± 0.1087,0.2138 ± 0.0839,0.1,0.7112 ± 0.0464,0.5016302168369293
11,GCN,3,True,0.0005 ± 0.0001,0.2327 ± 0.0146,0.3545 ± 0.0827,0.2403 ± 0.0590,0.1,0.7502 ± 0.0124,0.3106530249118805
12,GCN,4,False,0.0000 ± 0.0000,0.0000 ± 0.0000,0.1454 ± 0.1279,0.1039 ± 0.0769,0.0,0.4458 ± 0.0898,0.4432343512773514
13,GCN,4,True,0.0004 ± 0.0001,0.2578 ± 0.0510,0.2356 ± 0.0864,0.1826 ± 0.0543,0.0,0.3416 ± 0.2085,0.24749670177698135
14,GCN,4,False,0.0000 ± 0.0000,0.0000 ± 0.0000,0.2567 ± 0.1982,0.1727 ± 0.0979,0.01,0.5438 ± 0.1923,0.2676704257726669
15,GCN,4,True,0.0005 ± 0.0001,0.2875 ± 0.0391,0.1653 ± 0.1005,0.1352 ± 0.0513,0.01,0.6204 ± 0.0945,0.2613410592079163
16,GCN,4,False,0.0000 ± 0.0000,0.0000 ± 0.0000,0.1157 ± 0.0442,0.1047 ± 0.0321,0.1,0.5534 ± 0.1587,0.41730484962463377
17,GCN,4,True,0.0004 ± 0.0001,0.2810 ± 0.0679,0.1099 ± 0.0392,0.1112 ± 0.0388,0.1,0.5532 ± 0.1606,0.27416223138570783
18,GCN,5,False,0.0000 ± 0.0000,0.0000 ± 0.0000,0.2102 ± 0.1486,0.1751 ± 0.0916,0.0,0.5282 ± 0.1475,0.06574340499937534
19,GCN,5,True,0.0003 ± 0.0001,0.3184 ± 0.0427,0.1375 ± 0.0286,0.1381 ± 0.0290,0.0,0.3050 ± 0.1156,0.13668910190463066
20,GCN,5,False,0.0000 ± 0.0000,0.0000 ± 0.0000,0.1089 ± 0.0546,0.1040 ± 0.0421,0.01,0.3864 ± 0.1530,0.0976484477519989
21,GCN,5,True,0.0004 ± 0.0000,0.2654 ± 0.0195,0.2872 ± 0.2309,0.1872 ± 0.0912,0.01,0.3470 ± 0.1671,0.03693370558321476
22,GCN,5,False,0.0000 ± 0.0000,0.0000 ± 0.0000,0.1545 ± 0.0775,0.1586 ± 0.0531,0.1,0.3066 ± 0.1321,0.08793778605759144
23,GCN,5,True,0.0004 ± 0.0000,0.2937 ± 0.0316,0.1388 ± 0.1171,0.1155 ± 0.0779,0.1,0.2872 ± 0.1255,0.20020930841565132
24,GCN,6,False,0.0000 ± 0.0000,0.0000 ± 0.0000,0.0780 ± 0.0524,0.0868 ± 0.0487,0.0,0.2436 ± 0.0873,0.061919258534908296
25,GCN,6,True,0.0003 ± 0.0001,0.3571 ± 0.0453,0.1971 ± 0.1368,0.1977 ± 0.1142,0.0,0.2128 ± 0.1018,0.03903171923011541
26,GCN,6,False,0.0000 ± 0.0000,0.0000 ± 0.0000,0.1271 ± 0.0659,0.1269 ± 0.0527,0.01,0.2962 ± 0.0891,0.017626917641609906
27,GCN,6,True,0.0005 ± 0.0001,0.3440 ± 0.0336,0.0887 ± 0.0797,0.0961 ± 0.0690,0.01,0.2476 ± 0.0929,0.06086914110928774
28,GCN,6,False,0.0000 ± 0.0000,0.0000 ± 0.0000,0.0794 ± 0.0619,0.0975 ± 0.0618,0.1,0.2234 ± 0.0841,0.07222653552889824
29,GCN,6,True,0.0003 ± 0.0002,0.3132 ± 0.0728,0.1359 ± 0.1019,0.1317 ± 0.0683,0.1,0.1768 ± 0.0491,0.039096790738403796
30,GAT,2,False,0.0000 ± 0.0000,0.0000 ± 0.0000,0.3950 ± 0.1305,0.2257 ± 0.0481,0.0,0.6258 ± 0.0352,0.2162875533103943
31,GAT,2,True,0.0003 ± 0.0001,0.2005 ± 0.0009,0.5438 ± 0.1023,0.3252 ± 0.0419,0.0,0.6688 ± 0.0433,0.21372151970863343
32,GAT,2,False,0.0000 ± 0.0000,0.0000 ± 0.0000,0.5138 ± 0.0382,0.2947 ± 0.0294,0.01,0.6418 ± 0.0577,0.22649028897285461
33,GAT,2,True,0.0003 ± 0.0001,0.2053 ± 0.0089,0.4087 ± 0.1273,0.2312 ± 0.0848,0.01,0.6590 ± 0.0456,0.23281476199626921
34,GAT,2,False,0.0000 ± 0.0000,0.0000 ± 0.0000,0.5819 ± 0.1779,0.2879 ± 0.0869,0.1,0.6412 ± 0.0514,0.20998470187187196
35,GAT,2,True,0.0003 ± 0.0001,0.2007 ± 0.0008,0.4597 ± 0.1464,0.2470 ± 0.0731,0.1,0.6372 ± 0.0398,0.20235224068164825
36,GAT,3,False,0.0000 ± 0.0000,0.0000 ± 0.0000,0.2914 ± 0.0824,0.2037 ± 0.0397,0.0,0.5262 ± 0.0895,0.04748789481818676
37,GAT,3,True,0.0004 ± 0.0001,0.2324 ± 0.0159,0.3208 ± 0.0863,0.2008 ± 0.0445,0.0,0.4674 ± 0.1198,0.03400772213935852
38,GAT,3,False,0.0000 ± 0.0000,0.0000 ± 0.0000,0.3833 ± 0.1147,0.2600 ± 0.0882,0.01,0.5710 ± 0.1575,0.04062681309878826
39,GAT,3,True,0.0003 ± 0.0001,0.2456 ± 0.0136,0.2656 ± 0.0783,0.1865 ± 0.0317,0.01,0.5204 ± 0.1620,0.04401026852428913
40,GAT,3,False,0.0000 ± 0.0000,0.0000 ± 0.0000,0.3400 ± 0.0872,0.2448 ± 0.0524,0.1,0.5488 ± 0.1065,0.048506048321723935
41,GAT,3,True,0.0003 ± 0.0001,0.2427 ± 0.0126,0.3698 ± 0.0775,0.2706 ± 0.0381,0.1,0.5752 ± 0.0816,0.03591412119567394
42,GAT,4,False,0.0000 ± 0.0000,0.0000 ± 0.0000,0.1673 ± 0.0866,0.1430 ± 0.0684,0.0,0.3124 ± 0.0901,0.018534052930772305
43,GAT,4,True,0.0003 ± 0.0001,0.2980 ± 0.0435,0.1881 ± 0.0746,0.1764 ± 0.0634,0.0,0.3886 ± 0.0871,0.013517748657613992
44,GAT,4,False,0.0000 ± 0.0000,0.0000 ± 0.0000,0.2475 ± 0.1981,0.2186 ± 0.1307,0.01,0.3270 ± 0.0732,0.00844767689704895
45,GAT,4,True,0.0002 ± 0.0001,0.3136 ± 0.0594,0.1765 ± 0.0564,0.1536 ± 0.0535,0.01,0.3688 ± 0.1309,0.01225374210625887
46,GAT,4,False,0.0000 ± 0.0000,0.0000 ± 0.0000,0.2287 ± 0.0813,0.1979 ± 0.0850,0.1,0.3630 ± 0.0957,0.015703699737787246
47,GAT,4,True,0.0002 ± 0.0001,0.2965 ± 0.0197,0.3600 ± 0.1660,0.2505 ± 0.0882,0.1,0.2930 ± 0.0525,0.013068745285272599
48,GAT,5,False,0.0000 ± 0.0000,0.0000 ± 0.0000,0.2302 ± 0.1352,0.1928 ± 0.0885,0.0,0.2498 ± 0.0475,0.0032040209509432314
49,GAT,5,True,0.0002 ± 0.0001,0.3672 ± 0.0420,0.0738 ± 0.0481,0.0703 ± 0.0345,0.0,0.2400 ± 0.1549,0.006581782607827336
50,GAT,5,False,0.0000 ± 0.0000,0.0000 ± 0.0000,0.1672 ± 0.0407,0.1413 ± 0.0244,0.01,0.3492 ± 0.1126,0.003405873407609761
51,GAT,5,True,0.0003 ± 0.0001,0.3398 ± 0.0394,0.1503 ± 0.0653,0.1397 ± 0.0437,0.01,0.2434 ± 0.0698,0.0033106442773714662
